frame_idx,event,side,value
0,velocity_saturation,,1.0
1,arm_branch_flip,right,-1
1,collision_constraint_activation,,v3_pelvis_proxy:v3_right_hand_proxy
1,velocity_saturation,,1.0
2,touchdown,left,FLAT
2,touchdown,right,FLAT
4,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
5,load_transition,left,UNLOADED->SUPPORT
5,load_transition,right,UNLOADED->SUPPORT
5,arm_branch_flip,left,-1
14,load_transition,right,SUPPORT->UNLOADING
27,load_transition,right,UNLOADING->SUPPORT
28,load_transition,right,SUPPORT->UNLOADING
29,velocity_saturation,,0.9999993219380334
30,velocity_saturation,,1.0
31,load_transition,right,UNLOADING->SUPPORT
39,load_transition,right,SUPPORT->UNLOADING
39,velocity_saturation,,0.9999993533704824
40,velocity_saturation,,1.0000000000000002
47,arm_branch_flip,right,1
48,load_transition,right,UNLOADING->SUPPORT
104,load_transition,left,SUPPORT->UNLOADING
107,load_transition,left,UNLOADING->SUPPORT
112,load_transition,left,SUPPORT->UNLOADING
115,load_transition,left,UNLOADING->SUPPORT
118,load_transition,left,SUPPORT->UNLOADING
121,load_transition,left,UNLOADING->SUPPORT
124,load_transition,right,SUPPORT->UNLOADING
127,load_transition,right,UNLOADING->SUPPORT
129,load_transition,left,SUPPORT->UNLOADING
132,load_transition,left,UNLOADING->SUPPORT
135,load_transition,left,SUPPORT->LOADING
136,load_transition,right,SUPPORT->UNLOADING
139,load_transition,right,UNLOADING->SUPPORT
139,velocity_saturation,,0.999985962602809
141,velocity_saturation,,0.9999687261556033
142,load_transition,left,LOADING->UNLOADING
142,load_transition,right,SUPPORT->UNLOADING
144,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
144,velocity_saturation,,1.0
145,load_transition,left,UNLOADING->LOADING
145,load_transition,right,UNLOADING->LOADING
145,velocity_saturation,,0.9999999999999996
146,load_transition,left,LOADING->UNLOADING
146,velocity_saturation,,1.0
150,load_transition,left,UNLOADING->LOADING
155,load_transition,left,LOADING->UNLOADING
155,load_transition,right,LOADING->UNLOADING
158,load_transition,left,UNLOADING->LOADING
158,load_transition,right,UNLOADING->LOADING
159,load_transition,left,LOADING->UNLOADING
159,load_transition,right,LOADING->UNLOADING
161,velocity_saturation,,0.999999537133339
162,load_transition,left,UNLOADING->LOADING
162,load_transition,right,UNLOADING->LOADING
163,load_transition,left,LOADING->UNLOADING
163,load_transition,right,LOADING->UNLOADING
166,load_transition,left,UNLOADING->LOADING
166,load_transition,right,UNLOADING->LOADING
175,velocity_saturation,,0.9999749315329687
178,load_transition,right,LOADING->SUPPORT
179,velocity_saturation,,1.0000000000000002
180,velocity_saturation,,1.0
181,load_transition,right,SUPPORT->UNLOADING
181,collision_constraint_activation,,v3_torso_proxy:v3_right_forearm_proxy
182,load_transition,left,LOADING->SUPPORT
195,load_transition,left,SUPPORT->UNLOADING
196,liftoff,right,AIR
204,touchdown,right,FLAT
204,load_transition,right,UNLOADING->LOADING
207,velocity_saturation,,1.0000000000000002
209,load_transition,left,UNLOADING->LOADING
209,load_transition,right,LOADING->SUPPORT
212,velocity_saturation,,0.9999999999999999
213,load_transition,left,LOADING->UNLOADING
213,velocity_saturation,,1.0000000000000002
216,load_transition,left,UNLOADING->LOADING
217,velocity_saturation,,0.9999986995045861
218,load_transition,right,SUPPORT->UNLOADING
218,velocity_saturation,,1.0000000000000002
221,load_transition,left,LOADING->SUPPORT
233,load_transition,right,UNLOADING->LOADING
234,load_transition,left,SUPPORT->UNLOADING
238,load_transition,right,LOADING->SUPPORT
252,load_transition,left,UNLOADING->SUPPORT
253,load_transition,right,SUPPORT->UNLOADING
269,velocity_saturation,,1.0000000000000002
271,load_transition,right,UNLOADING->SUPPORT
272,load_transition,left,SUPPORT->UNLOADING
290,load_transition,left,UNLOADING->SUPPORT
291,load_transition,right,SUPPORT->UNLOADING
298,arm_branch_flip,right,-1
